Claim_ID,Customer_Age,Policy_Type,Policy_Tenure_Years,Claim_Amount,Incident_Type,Incident_Date,Claim_Submission_Date,Previous_Claim_Count,Vehicle_Age,Repair_Estimate,Final_Invoice_Amount,Police_Report_Available,Witness_Available,Location,Customer_Description,Fraud or Risk_Label
CLM00919,20,Third-Party,10.4,41489.03,Theft,22-08-2023,22-08-2023,0,8,40275.49,39813.34,Yes,No,Kolkata,Minor collision while reversing out of a parking spot.,0
CLM01110,32,Third-Party Fire & Theft,6.2,34184.82,Theft,27-06-2024,01-07-2024,0,13,34487.28,35671.64,Yes,Yes,Bengaluru,Rear-ended while stopped at a junction.,0
CLM00387,,Comprehensive,0.1,25423.21,Windshield Damage,27-01-2024,31-01-2024,1,9,19876.5,25816.07,Yes,,Pune,Multiple prior claims for similar type of incident.,1
CLM00293,36,Third-Party,9.2,48312.63,Windshield Damage,16-05-2025,22-05-2025,1,7,36229.89,49715.14,Yes,Yes,Hyderabad,Vehicle collided with another car at a traffic signal.,0
CLM00727,58,Third-Party Fire & Theft,3.5,26060.83,Vandalism,17-01-2023,21-01-2023,0,7,,26543.46,Yes,No,Bengaluru,Tree branch fell on the car during a storm.,0
CLM00895,27,Comprehensive,4,11412.04,Injury/Accident,26-09-2023,01-10-2023,3,6,11290.44,11146.54,Yes,Yes,Lucknow,Repair invoice submitted without an itemized breakdown.,1
CLM01071,23,Third-Party Fire & Theft,16.8,14044.07,Natural Disaster,16-04-2025,16-04-2025,0,12,13965.03,13609.49,Yes,No,Bengaluru,Vehicle scratched while parked in a mall parking lot.,0
CLM00617,28,Comprehensive,5,18732.53,Injury/Accident,28-12-2024,29-12-2024,0,3,20193.95,18573.75,Yes,Yes,Kochi,Car was damaged in heavy rain and flooding.,0
CLM01145,43,Comprehensive,4.2,49341.41,Theft,17-02-2023,19-03-2023,0,4,43194.53,51632.83,Yes,No,Lucknow,Car was damaged in heavy rain and flooding.,0
CLM00300,29,Comprehensive,3.8,10937.89,Theft,21-10-2023,23-10-2023,2,11,11193.11,11287.89,Yes,Yes,Mumbai,Minor collision while reversing out of a parking spot.,0
CLM01014,29,Third-Party Fire & Theft,6,107923.14,Windshield Damage,15-11-2025,15-11-2025,0,6,89944.41,102912.3,No,Yes,Delhi,Car was damaged in heavy rain and flooding.,0
CLM00890,25,Comprehensive,1.4,29798.23,Collision,24-02-2025,02-03-2025,1,5,27158.26,28990.55,Yes,No,Delhi,Vehicle scratched while parked in a mall parking lot.,0
CLM00606,38,Comprehensive,3.1,50828.67,Vandalism,15-10-2024,15-10-2024,0,0,44505.69,50540.35,No,Yes,Lucknow,Vehicle scratched while parked in a mall parking lot.,0
CLM00154,32,Comprehensive,5,18522.73,Windshield Damage,09-08-2025,17-08-2025,0,8,17939.39,18246.93,Yes,Yes,Pune,Minor collision while reversing out of a parking spot.,0
CLM00830,46,Third-Party,5.9,5862.13,Theft,31-10-2023,15-11-2023,0,13,5817.59,6102.18,Yes,Yes,Mumbai,Windshield cracked due to a stone hit on the highway.,0
CLM00928,21,Third-Party Fire & Theft,1.4,24654.31,Natural Disaster,03-04-2024,05-04-2024,2,1,24367.27,24591.28,Yes,Yes,Jaipur,Tree branch fell on the car during a storm.,0
CLM00951,45,Third-Party,1.6,29582.56,Collision,28-04-2025,30-04-2025,4,0,31918.41,28780.88,No,Yes,Kochi,Vehicle collided with another car at a traffic signal.,0
CLM00767,36,Third-Party Fire & Theft,7.3,24183.93,Natural Disaster,20-10-2024,26-10-2024,4,0,15535.85,23954.15,No,No,Hyderabad,Minor collision while reversing out of a parking spot.,0
CLM00971,51,Third-Party Fire & Theft,15.1,37830.01,Windshield Damage,04-04-2024,05-04-2024,0,7,37242.34,37616.01,No,Yes,Bengaluru,Incident location does not match customer's usual route.,1
CLM00945,45,Third-Party,0.2,7855.62,Collision,19-07-2023,30-07-2023,1,1,4817.75,7854.28,Yes,No,Chennai,Rear-ended while stopped at a junction.,1
CLM01111,51,Comprehensive,2.7,71369,Windshield Damage,26-05-2024,30-05-2024,0,1,70397.53,74776.6,No,No,Delhi,Tree branch fell on the car during a storm.,1
CLM00775,42,Third-Party Fire & Theft,7.8,26847.59,Fire,19-10-2023,20-10-2023,0,0,24718.56,27326.28,Yes,No,Surat,Rear-ended while stopped at a junction.,0
CLM00226,47,Third-Party Fire & Theft,8.5,12369.11,Windshield Damage,28-12-2025,30-12-2025,1,8,11649.96,12325.29,Yes,Yes,Pune,Minor collision while reversing out of a parking spot.,0
CLM01088,35,Comprehensive,1.6,35793.65,Injury/Accident,09-10-2025,12-10-2025,2,0,31623.64,34424.15,Yes,No,Chennai,Vehicle skidded and hit a divider on a wet road.,0
CLM01128,35,Third-Party,0.6,43075.62,Theft,26-10-2023,12-11-2023,1,1,46613.44,44796.69,Yes,Yes,Ahmedabad,Car was damaged in heavy rain and flooding.,0
CLM00479,27,Third-Party Fire & Theft,3.3,21755.44,Natural Disaster,07-04-2024,08-04-2024,0,14,19732.56,20995.72,Yes,No,Chennai,Rear-ended while stopped at a junction.,0
CLM00857,26,Third-Party Fire & Theft,0.8,42819.18,Windshield Damage,17-09-2024,18-09-2024,0,3,38296.37,44722.9,Yes,No,Kolkata,Vehicle scratched while parked in a mall parking lot.,0
CLM00698,50,Comprehensive,12.6,18361.86,Fire,10-10-2024,12-10-2024,1,5,15617.02,18039.82,Yes,Yes,Kolkata,Car was damaged in heavy rain and flooding.,0
CLM00343,42,Third-Party Fire & Theft,3.1,18614.3,Windshield Damage,04-11-2023,12-11-2023,1,0,18756.91,18347.28,Yes,Yes,Mumbai,Tree branch fell on the car during a storm.,0
CLM00687,33,Comprehensive,11.6,37753.09,Injury/Accident,20-10-2023,20-10-2023,1,1,33366,38502.17,Yes,Yes,Jaipur,Windshield cracked due to a stone hit on the highway.,0
CLM00064,22,Third-Party Fire & Theft,4.3,52045.82,Theft,23-03-2023,24-04-2023,0,0,45546.76,53774.43,Yes,No,Kolkata,Windshield cracked due to a stone hit on the highway.,1
CLM01165,50,Third-Party Fire & Theft,1,39040.44,Injury/Accident,09-03-2025,14-03-2025,1,0,40351.19,39898.38,Yes,No,Bengaluru,Minor collision while reversing out of a parking spot.,0
CLM00611,39,Third-Party,9.5,27615.31,Windshield Damage,22-05-2023,26-05-2023,1,6,27762.01,27036.32,No,Yes,Kochi,Minor collision while reversing out of a parking spot.,0
CLM00089,44,Third-Party,5.9,42183.91,Windshield Damage,11-04-2024,11-04-2024,2,9,38442.52,40969.03,Yes,Yes,Chennai,Rear-ended while stopped at a junction.,0
CLM00957,49,Third-Party Fire & Theft,5.5,7691.8,Natural Disaster,21-10-2024,22-10-2024,0,6,6236.85,7760.6,Yes,Yes,Kolkata,Minor collision while reversing out of a parking spot.,0
CLM00561,64,Comprehensive,2.4,18280.97,Windshield Damage,18-04-2024,18-04-2024,3,3,19325.1,18274.45,No,Yes,Lucknow,Windshield cracked due to a stone hit on the highway.,0
CLM00913,51,Comprehensive,4.4,48447.73,Vandalism,29-08-2024,29-08-2024,0,3,45975.88,50550.89,yes,Yes,Ahmedabad,Vehicle scratched while parked in a mall parking lot.,0
CLM00696,40,Third-Party Fire & Theft,5.9,57401.01,Collision,05-05-2024,10-05-2024,0,0,45278.51,58785.13,No,No,Kolkata,Vehicle skidded and hit a divider on a wet road.,0
CLM00637,50,Third-Party Fire & Theft,7.7,24472.31,Fire,06-03-2025,11-03-2025,1,1,22816.59,23907.43,Yes,Yes,Coimbatore,Incident location does not match customer's usual route.,1
CLM00267,33,Third-Party,3,43655.41,Theft,08-09-2023,08-09-2023,1,1,47230.16,43452.51,No,Yes,Mumbai,Vehicle skidded and hit a divider on a wet road.,0
CLM00214,40,Third-Party Fire & Theft,1.4,17222.92,Fire,06-01-2023,13-01-2023,0,1,,16747.69,Yes,Yes,Lucknow,Vehicle scratched while parked in a mall parking lot.,0
CLM00473,51,Third-Party Fire & Theft,9.1,24109.07,Injury/Accident,16-02-2025,18-02-2025,3,5,24157.71,24308.48,Yes,Yes,Surat,Incident location does not match customer's usual route.,1
CLM01031,53,Third-Party Fire & Theft,2.1,30834.7,Theft,17-03-2023,29-03-2023,1,3,21840.81,29856.39,No,No,Jaipur,Vehicle scratched while parked in a mall parking lot.,0
CLM00208,32,Third-Party Fire & Theft,3.6,77501.31,Collision,15-04-2025,16-04-2025,0,5,68435.71,74148.17,Yes,Yes,Bengaluru,Windshield cracked due to a stone hit on the highway.,0
CLM00817,35,Third-Party Fire & Theft,3.6,28957.25,Injury/Accident,18-07-2023,20-07-2023,0,9,25782.51,27965.68,Yes,Yes,Kochi,Windshield cracked due to a stone hit on the highway.,0
CLM00876,51,Third-Party,1.2,39745.17,Fire,17-06-2024,25-06-2024,1,1,37174.24,38682.08,Yes,No,Ahmedabad,Multiple prior claims for similar type of incident.,1
CLM00679,26,Third-Party Fire & Theft,0.1,55207.24,Fire,24-04-2024,24-04-2024,4,3,47654.84,55181.01,Yes,Yes,Kochi,Minor collision while reversing out of a parking spot.,0
CLM00858,52,Third-Party,1.3,109268.5,Windshield Damage,15-12-2024,16-12-2024,0,1,100257.73,106679.07,Yes,Yes,Hyderabad,Vehicle skidded and hit a divider on a wet road.,0
CLM01153,43,Comprehensive,2.8,27404.53,Injury/Accident,31-12-2024,02-01-2025,0,5,24435.9,27982.29,Yes,Yes,Surat,Tree branch fell on the car during a storm.,0
CLM00054,34,Third-Party Fire & Theft,5.5,25087.75,Windshield Damage,31-01-2023,05-02-2023,0,3,23378.76,26087.15,No,No,Nagpur,Windshield cracked due to a stone hit on the highway.,0
CLM01012,54,Third-Party Fire & Theft,2.4,70483.87,Natural Disaster,18-03-2025,19-03-2025,0,5,61753.74,68340.47,Yes,Yes,Hyderabad,Windshield cracked due to a stone hit on the highway.,0
CLM00944,26,Third-Party Fire & Theft,13,10669.56,Windshield Damage,26-08-2025,29-08-2025,0,1,9882.46,10876.19,Yes,Yes,Lucknow,Tree branch fell on the car during a storm.,0
CLM00018,58,Third-Party,1.3,27738.99,Vandalism,06-07-2024,17-07-2024,1,0,25532.31,28321.13,Yes,No,Kochi,Rear-ended while stopped at a junction.,0
CLM00246,54,Comprehensive,4.2,58389.8,Injury/Accident,22-03-2023,23-03-2023,0,1,56400.84,57426.41,No,Yes,Nagpur,Vehicle scratched while parked in a mall parking lot.,1
CLM00707,26,Third-Party Fire & Theft,1.6,12565.09,Windshield Damage,16-05-2023,22-05-2023,1,1,13877.46,12999,Yes,No,Lucknow,Vehicle scratched while parked in a mall parking lot.,0
CLM00351,49,Comprehensive,3.4,27662.89,Fire,27-07-2023,07-08-2023,2,7,23129.37,26494.5,Yes,No,Kochi,Vehicle collided with another car at a traffic signal.,0
CLM00178,45,Third-Party Fire & Theft,12.5,73915.61,Vandalism,11-07-2025,22-07-2025,0,1,71054.68,73838.58,Yes,No,Hyderabad,Claim submitted just before policy renewal/expiry.,1
CLM00940,27,Third-Party,3.1,55858.38,Collision,01-01-2023,01-01-2023,0,5,58896.87,55538.93,No,No,Nagpur,Windshield cracked due to a stone hit on the highway.,0
CLM01170,49,Third-Party Fire & Theft,1.5,71343.43,Vandalism,16-07-2025,18-07-2025,0,0,65364.8,74891.14,Yes,No,Lucknow,Vehicle scratched while parked in a mall parking lot.,0
CLM00108,39,Comprehensive,3.1,59080.14,Injury/Accident,27-09-2024,01-10-2024,2,4,42043.05,62140.15,No,No,Nagpur,Rear-ended while stopped at a junction.,0
CLM00421,41,Comprehensive,6,45193.08,Fire,06-04-2024,10-04-2024,0,1,45454.57,47153.67,No,,Jaipur,Customer requested cash settlement instead of repair.,1
CLM00976,58,Third-Party Fire & Theft,4.8,37528.55,Theft,25-08-2024,26-08-2024,0,22,35334.74,39154.4,Yes,No,Delhi,Vehicle skidded and hit a divider on a wet road.,0
CLM00296,19,Comprehensive,1.1,115903.89,Fire,22-01-2025,19-04-2025,0,0,71494.06,111729.47,Yes,Yes,,Incident reported late at night with no witnesses.,1
CLM00489,37,Third-Party,0.9,61477.87,Injury/Accident,09-12-2025,10-12-2025,2,1,57748.29,58868.83,No,Yes,Delhi,Vehicle skidded and hit a divider on a wet road.,0
CLM00624,49,Third-Party,1.7,16158.95,Vandalism,28-02-2024,04-03-2024,3,0,15630.26,15792.2,Yes,No,Pune,Vehicle skidded and hit a divider on a wet road.,0
CLM00147,18,Third-Party Fire & Theft,4.2,11564.55,Vandalism,28-01-2025,31-01-2025,0,3,11985.85,11965.75,Yes,No,Jaipur,Windshield cracked due to a stone hit on the highway.,0
CLM00771,45,Third-Party Fire & Theft,4.9,5500.21,Theft,29-06-2024,01-07-2024,2,0,5457.83,5737.87,No,Yes,Nagpur,Vehicle collided with another car at a traffic signal.,0
CLM00003,40,Third-Party,3.6,7933.55,Collision,03-03-2023,20-03-2023,1,0,7774.88,7790.03,Yes,Yes,Bengaluru,Windshield cracked due to a stone hit on the highway.,0
CLM00370,32,Comprehensive,1.5,64311,Fire,17-03-2024,18-03-2024,1,20,60912.73,61555.26,Yes,Yes,Jaipur,Car was damaged in heavy rain and flooding.,0
CLM00043,44,Comprehensive,0.8,12497.48,Injury/Accident,01-05-2023,02-05-2023,3,2,12817.46,12914.61,Yes,Yes,Mumbai,Rear-ended while stopped at a junction.,0
CLM00680,42,Comprehensive,3.1,19095.09,Injury/Accident,14-07-2023,18-07-2023,0,2,19472.17,19885.76,Yes,Yes,Bengaluru,Vehicle collided with another car at a traffic signal.,0
CLM00087,21,Third-Party Fire & Theft,0.7,2761.87,Collision,22-02-2025,28-02-2025,1,7,2788.93,2642.72,Yes,Yes,Surat,Vehicle collided with another car at a traffic signal.,0
CLM00641,39,Comprehensive,0.3,30344.45,Theft,03-02-2025,06-02-2025,2,0,30156.73,30946.12,Yes,,Jaipur,Car was damaged in heavy rain and flooding.,0
CLM00799,50,Comprehensive,1.3,24041.99,Windshield Damage,10-03-2023,17-03-2023,0,1,23050.81,24774.15,No,Yes,Chennai,Multiple prior claims for similar type of incident.,1
CLM00588,56,Third-Party,4.8,6809.02,Theft,17-02-2025,21-02-2025,0,2,6501.61,6862.24,Yes,Yes,Lucknow,Car was damaged in heavy rain and flooding.,0
CLM00194,30,Comprehensive,2.6,15318.32,Windshield Damage,25-12-2023,11-01-2024,1,6,14636.51,15997.23,,Yes,Jaipur,Vehicle skidded and hit a divider on a wet road.,0
CLM00426,64,Third-Party Fire & Theft,0.1,75785.44,Injury/Accident,22-11-2024,08-12-2024,0,16,53208.09,73416.6,No,No,Surat,Claim filed for total loss shortly after policy purchase.,1
CLM00526,36,Comprehensive,0.4,82014.87,Collision,10-03-2023,14-03-2023,0,18,86087.7,83875.07,Yes,Yes,Coimbatore,Vehicle skidded and hit a divider on a wet road.,0
CLM00649,52,Comprehensive,2.1,37293.36,Natural Disaster,05-03-2023,09-03-2023,2,4,31001.86,36702.55,Yes,Yes,Hyderabad,Rear-ended while stopped at a junction.,0
CLM00066,62,Comprehensive,1.9,11321.87,Injury/Accident,05-10-2024,07-10-2024,0,4,9102.89,10835.93,No,Yes,,Rear-ended while stopped at a junction.,0
CLM00768,32,Comprehensive,4.9,14554.35,Collision,15-10-2024,15-10-2024,3,4,12641.24,13921.43,Yes,No,Chennai,Rear-ended while stopped at a junction.,0
CLM00308,36,Third-Party Fire & Theft,0.2,8821.98,Collision,07-12-2024,16-12-2024,2,8,7561.66,8707.51,No,Yes,Mumbai,Minor collision while reversing out of a parking spot.,0
CLM01179,38,Third-Party Fire & Theft,5.6,10728.74,Vandalism,07-01-2024,20-01-2024,3,0,9523.8,10499.47,Yes,Yes,Surat,Rear-ended while stopped at a junction.,0
CLM00947,36,Comprehensive,0.1,51879.46,Collision,03-12-2023,11-12-2023,1,4,50963.23,54132.41,Yes,No,Delhi,Vehicle skidded and hit a divider on a wet road.,0
CLM01171,45,Third-Party Fire & Theft,4.2,26649.32,Vandalism,20-01-2024,22-01-2024,5,3,27720.93,27600.03,No,No,Chennai,Tree branch fell on the car during a storm.,0
CLM00828,31,Third-Party,3.4,61979.11,Natural Disaster,27-07-2025,27-07-2025,1,8,60572.39,64988.78,Yes,,Nagpur,Vehicle collided with another car at a traffic signal.,0
CLM00235,52,Third-Party Fire & Theft,0.3,4695.03,Theft,20-04-2024,22-04-2024,2,2,4462.31,4906.65,Yes,Yes,Kochi,Vehicle skidded and hit a divider on a wet road.,0
CLM00648,40,Third-Party,3.1,47235.57,Vandalism,28-06-2025,23-07-2025,0,3,44567.03,46503.4,No,Yes,Delhi,Vehicle skidded and hit a divider on a wet road.,0
CLM01004,35,Third-Party Fire & Theft,3.5,51775.57,Natural Disaster,10-05-2023,22-05-2023,0,0,46820,52122.81,Yes,No,Lucknow,Vehicle collided with another car at a traffic signal.,0
CLM00921,44,Third-Party,0.1,20841.64,Injury/Accident,08-12-2023,16-12-2023,0,14,21131.7,21528.28,No,No,Delhi,Windshield cracked due to a stone hit on the highway.,0
CLM00746,57,Third-Party,0.5,93265.6,Fire,03-09-2023,07-09-2023,0,4,92245.69,91081.5,Yes,Yes,Delhi,,0
CLM01182,60,Third-Party Fire & Theft,0.3,43167.64,Collision,12-02-2024,20-02-2024,4,12,39714.8,41442.99,No,No,Lucknow,Claim submitted just before policy renewal/expiry.,1
CLM00130,49,Third-Party,1.4,9603.48,Injury/Accident,08-04-2025,16-04-2025,1,7,9375.33,9467.24,,Yes,Surat,Car was damaged in heavy rain and flooding.,0
CLM00258,57,Comprehensive,0.7,46330.52,Injury/Accident,08-08-2025,23-08-2025,0,3,44623.85,44512.48,Yes,Yes,Kochi,Vehicle scratched while parked in a mall parking lot.,0
CLM00676,62,Comprehensive,3.3,30277.43,Injury/Accident,28-09-2023,03-10-2023,0,13,30572.03,30143.2,Yes,Yes,Delhi,Vehicle scratched while parked in a mall parking lot.,0
CLM00709,38,Comprehensive,0.8,15459.26,Vandalism,26-08-2023,28-08-2023,2,3,16124.22,14850.65,No,Yes,Coimbatore,Vehicle skidded and hit a divider on a wet road.,0
CLM00125,,Comprehensive,3.1,37110.48,Theft,10-05-2025,19-05-2025,0,1,36821.6,38617.58,Yes,Yes,Nagpur,Minor collision while reversing out of a parking spot.,0
CLM00168,40,Comprehensive,0.6,14018.27,Fire,10-04-2024,15-04-2024,0,0,15341.99,13704.21,Yes,No,Delhi,Tree branch fell on the car during a storm.,0
CLM00145,50,Third-Party Fire & Theft,0.9,9601.73,Injury/Accident,12-05-2024,14-05-2024,1,4,9358.53,9276.48,Yes,Yes,Lucknow,Windshield cracked due to a stone hit on the highway.,0
CLM00448,35,Third-Party Fire & Theft,12.1,11782.09,Fire,31-05-2023,31-05-2023,3,1,11753.61,11457.92,Yes,Yes,Jaipur,Minor collision while reversing out of a parking spot.,0
CLM00563,56,Comprehensive,0.2,16734.24,Natural Disaster,16-09-2025,22-09-2025,0,0,,16386.72,Yes,Yes,Chennai,Vehicle skidded and hit a divider on a wet road.,0
CLM00996,40,Comprehensive,2.6,41674.19,Theft,12-03-2024,21-03-2024,3,7,40303.68,43052.52,Yes,No,Surat,Incident location does not match customer's usual route.,1
CLM00334,25,Third-Party Fire & Theft,16.2,32111.3,Natural Disaster,26-03-2023,29-03-2023,0,1,28503.19,33119.07,No,No,Nagpur,Vehicle skidded and hit a divider on a wet road.,0
CLM00654,43,Third-Party Fire & Theft,12.9,21580.4,Windshield Damage,21-05-2024,26-05-2024,1,5,20295.9,22535.72,Yes,No,Surat,Vehicle scratched while parked in a mall parking lot.,0
CLM00972,29,Third-Party Fire & Theft,1,44688.8,Windshield Damage,12-08-2024,13-08-2024,4,14,45523.28,45516.6,No,No,Kolkata,Vehicle collided with another car at a traffic signal.,0
CLM00234,44,Comprehensive,8.6,23052.87,Natural Disaster,22-02-2025,07-03-2025,0,3,22332.93,22957,No,Yes,Ahmedabad,Rear-ended while stopped at a junction.,0
CLM00528,24,Comprehensive,2.7,14729.75,Vandalism,17-06-2025,20-06-2025,0,3,13429.53,14775.29,Yes,Yes,Jaipur,Rear-ended while stopped at a junction.,0
CLM00580,21,Third-Party Fire & Theft,6.1,6010.02,Fire,25-02-2025,27-02-2025,0,16,5837.76,5900.54,Yes,Yes,Nagpur,Car was damaged in heavy rain and flooding.,0
CLM01115,46,Comprehensive,1.2,57987.42,Windshield Damage,12-11-2025,16-11-2025,0,0,52723.67,57323.67,Yes,Yes,Kolkata,Vehicle scratched while parked in a mall parking lot.,0
CLM00953,32,Third-Party Fire & Theft,7.2,65706.8,Natural Disaster,29-10-2025,02-11-2025,0,0,63980.85,63525.09,Yes,Yes,Ahmedabad,Car was damaged in heavy rain and flooding.,0
CLM00273,31,Third-Party Fire & Theft,5,32584.71,Windshield Damage,22-02-2023,22-02-2023,0,0,33828.45,33065.26,Yes,Yes,Chennai,Car was damaged in heavy rain and flooding.,0
CLM00161,42,Third-Party,2.9,56637.45,Theft,08-04-2025,13-04-2025,0,2,53933.71,56037.35,Yes,Yes,Hyderabad,Rear-ended while stopped at a junction.,0
CLM00144,30,Third-Party Fire & Theft,3,34990.4,Vandalism,23-03-2025,23-03-2025,0,2,33374.95,35276.87,Yes,No,Mumbai,Rear-ended while stopped at a junction.,0
CLM00475,22,Third-Party,3.2,42716.13,Injury/Accident,11-06-2023,13-06-2023,1,3,45616.66,42531.19,Yes,No,Ahmedabad,Tree branch fell on the car during a storm.,0
CLM00026,21,Third-Party Fire & Theft,2.8,25088.49,Theft,14-05-2025,19-05-2025,1,9,24052.43,25372.23,Yes,Yes,Kolkata,Windshield cracked due to a stone hit on the highway.,0
CLM00484,36,Third-Party Fire & Theft,2.5,21507.7,Collision,03-07-2023,11-07-2023,2,2,19128.35,22516.27,Yes,No,Jaipur,Rear-ended while stopped at a junction.,0
CLM00224,54,Third-Party,2.4,45269.56,Windshield Damage,26-06-2024,29-06-2024,0,4,43303.21,47333.26,No,Yes,Coimbatore,Tree branch fell on the car during a storm.,0
CLM00626,36,Comprehensive,5.8,69255.33,Fire,02-04-2023,13-04-2023,0,0,58815.28,67835.44,Yes,Yes,Chennai,Windshield cracked due to a stone hit on the highway.,0
CLM00391,25,Third-Party Fire & Theft,3.4,45009.22,Fire,19-06-2023,24-06-2023,1,1,49603.13,44925,Yes,Yes,Mumbai,Minor collision while reversing out of a parking spot.,0
CLM00863,61,Third-Party Fire & Theft,0.7,7549.65,Fire,21-07-2024,01-08-2024,1,,6871.58,7363.2,Yes,Yes,Kochi,Vehicle scratched while parked in a mall parking lot.,0
CLM01018,50,Comprehensive,7,30676.35,Theft,24-09-2025,17-11-2025,1,,28911.99,31791.81,No,No,Pune,Customer requested cash settlement instead of repair.,1
CLM01131,45,Third-Party,1.6,110146.3,Fire,28-05-2024,02-06-2024,0,19,100893.38,109362.37,No,Yes,Kolkata,Vehicle collided with another car at a traffic signal.,0
CLM00520,37,Comprehensive,8.7,27650.74,Natural Disaster,15-03-2025,22-05-2025,3,0,18658.84,27577.4,No,No,Lucknow,Car was damaged in heavy rain and flooding.,1
CLM00871,55,Third-Party,2,18962.69,Natural Disaster,06-09-2024,14-09-2024,5,3,20617.35,19364.61,Yes,Yes,Surat,Car was damaged in heavy rain and flooding.,0
CLM01135,57,Third-Party Fire & Theft,10.2,9931.63,Windshield Damage,11-06-2024,15-06-2024,1,0,8296.74,9604.1,No,Yes,Chennai,Tree branch fell on the car during a storm.,0
CLM00584,40,Third-Party Fire & Theft,1.9,21791.16,Fire,11-07-2025,18-07-2025,1,3,22033.24,22704.76,No,Yes,Bengaluru,Vehicle skidded and hit a divider on a wet road.,0
CLM00505,30,Comprehensive,1.8,37835.08,Injury/Accident,17-06-2023,30-06-2023,2,4,36596.97,38758.81,Yes,Yes,Jaipur,Vehicle skidded and hit a divider on a wet road.,0
CLM00503,39,Third-Party,0.7,17496.2,Theft,20-07-2025,20-07-2025,0,1,18434.22,17367.72,Yes,Yes,,Tree branch fell on the car during a storm.,0
CLM00918,31,Third-Party,4.9,5964.71,Natural Disaster,03-07-2024,03-07-2024,3,18,5736.67,5830.28,Yes,Yes,Pune,Windshield cracked due to a stone hit on the highway.,0
CLM00102,40,Third-Party Fire & Theft,,33584.67,Theft,08-09-2024,12-09-2024,0,3,30953.86,33622.17,Yes,Yes,Jaipur,Incident location does not match customer's usual route.,1
CLM00263,42,Third-Party Fire & Theft,11.8,15397.1,Collision,29-09-2025,24-10-2025,2,10,12541.83,15085.96,No,No,Hyderabad,Minor collision while reversing out of a parking spot.,0
CLM00650,23,Comprehensive,13,23396,Fire,05-04-2024,08-04-2024,2,3,20460.24,23294.74,Yes,Yes,Delhi,Vehicle scratched while parked in a mall parking lot.,0
CLM00377,,Third-Party Fire & Theft,3.7,39106.26,Collision,08-12-2025,11-12-2025,0,2,36919.96,39544.38,No,No,Mumbai,Tree branch fell on the car during a storm.,0
CLM01149,27,Third-Party,3.1,15800.72,Natural Disaster,20-06-2023,20-06-2023,0,2,16918.3,16464.41,Yes,Yes,Hyderabad,Windshield cracked due to a stone hit on the highway.,0
